id,variant_group,variant_num,skip,chapter,chapter_label,chapter_name,chapter_icon,topic,topic_label,topic_icon,cat,cat_label,pts,millionaire_val,difficulty,type,tags,q,option_a,option_b,option_c,option_d,answer,answer_raw,answer_display,answer_sig_figs,tolerance,unit,given_keys,given_vals_display,hint,sol_1,sol_2,sol_3,sol_4,notes,visual_type,visual_params,,
ch8-gramstogram-400-004,ch8-gramstogram-400,4,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Grams to Grams,gram2gram,400,1000,2,numeric,calculation|stoichiometry,"CH₄ + 2O₂ → CO₂ + 2H₂O. How many grams of CO₂ are produced from 16 g CH₄? (MM CH₄ = 16 g/mol, CO₂ = 44 g/mol)",,,,,,,44,44,2,1,g,m_CH4,16 g,Convert g CH₄ to mol,then use mole ratio to mol CO₂,then to g.,mol CH₄ = 16 / 16 = 1.0 mol,mol CO₂ = 1.0 × (1/1) = 1.0 mol,g CO₂ = 1.0 × 44 = 44 g,,2 sf; clean,
ch8-gramstogram-400-005,ch8-gramstogram-400,5,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Grams to Grams,gram2gram,400,1000,2,numeric,calculation|stoichiometry,"2Na + Cl₂ → 2NaCl. How many grams of NaCl are produced from 23 g Na? (MM Na = 23 g/mol, NaCl = 58.5 g/mol)",,,,,,,58.5,58.5,3,0.5,g,m_Na,23 g,Convert g Na to mol,then use mole ratio to mol NaCl,then to g.,mol Na = 23 / 23 = 1.0 mol,mol NaCl = 1.0 × (2/2) = 1.0 mol,g NaCl = 1.0 × 58.5 = 58.5 g,,3 sf; 1:1,
ch8-limiting-200-001,ch8-limiting-200,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Limiting Reactants,limiting,200,500,1,mc,conceptual|stoichiometry,The limiting reactant in a chemical reaction is the one that:,is present in the smallest mass,is completely consumed first and determines the maximum product,has the highest molar mass,reacts the slowest,is completely consumed first and determines the maximum product,,,,,,,,It runs out first,stopping the reaction.,The other reactants are in excess.,Product amount is always based on the limiting reactant.,,,,,,
ch8-limiting-400-001,ch8-limiting-400,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Limiting Reactants,limiting,400,1000,2,numeric,calculation|stoichiometry|limiting,"2H₂ + O₂ → 2H₂O. 6.0 g H₂ and 40 g O₂ are mixed. What mass of H₂O is produced? (MM H₂=2.0 g/mol, O₂=32 g/mol, H₂O=18 g/mol)",,,,,,,45,45,2,1,g,m_H2|m_O2,6.0 g|40 g,Calculate moles of each reactant and compare to the required ratio.,mol H₂ = 6.0/2.0 = 3.0 mol; mol O₂ = 40/32 = 1.25 mol,O₂ is limiting (needs 1.5 mol O₂ for 3.0 mol H₂ but only 1.25 mol available),mol H₂O = 1.25 × 2 = 2.5 mol; mass = 2.5 × 18 = 45 g,,2 sf; O₂ limits,,,
ch8-limiting-400-002,ch8-limiting-400,2,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Limiting Reactants,limiting,400,1000,2,numeric,calculation|stoichiometry|limiting,"N₂ + 3H₂ → 2NH₃. 28 g N₂ and 12 g H₂ are mixed. What mass of NH₃ is produced? (MM N₂=28 g/mol, H₂=2.0 g/mol, NH₃=17 g/mol)",,,,,,,34,34,2,1,g,m_N2|m_H2,28 g|12 g,Calculate moles of each and compare to the 1:3 ratio.,mol N₂ = 28/28 = 1.0 mol; mol H₂ = 12/2.0 = 6.0 mol,N₂ is limiting (needs only 3 mol H₂ per mol N₂; 1 mol N₂ produces 2 mol NH₃),mol NH₃ = 1.0 × (2/1) = 2.0 mol; mass = 2.0 × 17 = 34 g,,2 sf; clean,,,
ch8-limiting-400-003,ch8-limiting-400,3,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Limiting Reactants,limiting,400,1000,2,numeric,calculation|stoichiometry|limiting,"2Al + 3S → Al₂S₃. 5.4 g Al and 9.6 g S are mixed. What mass of Al₂S₃ is produced? (MM Al=27 g/mol, S=32 g/mol, Al₂S₃=150 g/mol)",,,,,,,15,15,2,1,g,m_Al|m_S,5.4 g|9.6 g,Calculate moles and compare to 2:3 ratio.,mol Al = 0.20; mol S = 0.30,S is limiting (needs 0.30 mol S for 0.20 mol Al),mol Al₂S₃ = 0.30 × (1/3) = 0.10 mol; mass = 0.10 × 150 = 15 g,,2 sf,,,
ch8-limiting-400-004,ch8-limiting-400,4,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Limiting Reactants,limiting,400,1000,2,numeric,calculation|stoichiometry|limiting,"CH₄ + 2O₂ → CO₂ + 2H₂O. 8.0 g CH₄ and 32 g O₂ are mixed. What mass of CO₂ is produced? (MM CH₄=16 g/mol, O₂=32 g/mol, CO₂=44 g/mol)",,,,,,,22,22,2,1,g,m_CH4|m_O2,8.0 g|32 g,Calculate moles and compare to 1:2 ratio.,mol CH₄ = 0.50; mol O₂ = 1.0,O₂ is limiting (needs 1.0 mol O₂ for 0.50 mol CH₄),mol CO₂ = 1.0 × (1/2) = 0.50 mol; mass = 0.50 × 44 = 22 g,,2 sf,,,
ch8-limiting-400-005,ch8-limiting-400,5,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Limiting Reactants,limiting,400,1000,2,numeric,calculation|stoichiometry|limiting,"2Na + Cl₂ → 2NaCl. 4.6 g Na and 7.1 g Cl₂ are mixed. What mass of NaCl is produced? (MM Na=23 g/mol, Cl₂=71 g/mol, NaCl=58.5 g/mol)",,,,,,,11.7,11.7,2,0.1,g,m_Na|m_Cl2,4.6 g|7.1 g,Calculate moles and compare to 2:1 ratio.,mol Na = 0.20; mol Cl₂ = 0.10,Cl₂ is limiting (needs 0.10 mol Cl₂ for 0.20 mol Na),mol NaCl = 0.10 × 2 = 0.20 mol; mass = 0.20 × 58.5 = 11.7 g,,2 sf,,,
ch8-excess-200-001,ch8-excess-200,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Excess Reagents,excess,200,500,1,mc,conceptual|stoichiometry,The excess reagent is the reactant that:,is completely used up first,remains after the limiting reactant is consumed,has the lowest molar mass,produces the most product,remains after the limiting reactant is consumed,,,,,,,,It is left over once the reaction stops.,Amount left = initial − amount used by limiting.,Useful for calculating waste or leftover material.,,,,,,,
ch8-excess-400-001,ch8-excess-400,1,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Excess Reagents,excess,400,1000,2,numeric,calculation|stoichiometry|excess,"2H₂ + O₂ → 2H₂O. 6.0 g H₂ and 40 g O₂ react completely. What mass of excess H₂ remains? (MM H₂=2.0 g/mol, O₂=32 g/mol)",,,,,,,1,1,2,0.1,g,m_H2|m_O2,6.0 g|40 g,Identify limiting (O₂),then calculate H₂ consumed.,O₂ limiting (1.25 mol),mol H₂ used = 1.25 × 2 = 2.5 mol; excess mol H₂ = 3.0 − 2.5 = 0.50 mol,mass excess = 0.50 × 2.0 = 1.0 g,,2 sf,,
ch8-excess-400-002,ch8-excess-400,2,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Excess Reagents,excess,400,1000,2,numeric,calculation|stoichiometry|excess,"N₂ + 3H₂ → 2NH₃. 28 g N₂ and 12 g H₂ react completely. What mass of excess H₂ remains? (MM N₂=28 g/mol, H₂=2.0 g/mol)",,,,,,,2,2,2,0.1,g,m_N2|m_H2,28 g|12 g,Identify limiting (N₂),then calculate H₂ consumed.,N₂ limiting (1.0 mol),mol H₂ used = 1.0 × 3 = 3.0 mol; excess mol H₂ = 6.0 − 3.0 = 3.0 mol,mass excess = 3.0 × 2.0 = 6.0 g,,2 sf; clean,,
ch8-excess-400-003,ch8-excess-400,3,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Excess Reagents,excess,400,1000,2,numeric,calculation|stoichiometry|excess,"2Al + 3S → Al₂S₃. 10.8 g Al and 9.6 g S react completely. What mass of excess Al remains? (MM Al=27 g/mol, S=32 g/mol)",,,,,,,5.4,5.4,2,0.1,g,m_Al|m_S,10.8 g|9.6 g,Identify limiting (S),then calculate Al consumed.,mol Al = 0.40; mol S = 0.30,S limiting,mol Al used = 0.30 × (2/3) = 0.20 mol; excess mol Al = 0.40 − 0.20 = 0.20 mol; mass = 0.20 × 27 = 5.4 g,,2 sf,,
ch8-excess-400-004,ch8-excess-400,4,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Excess Reagents,excess,400,1000,2,numeric,calculation|stoichiometry|excess,"CH₄ + 2O₂ → CO₂ + 2H₂O. 16 g CH₄ and 80 g O₂ react completely. What mass of excess O₂ remains? (MM CH₄=16 g/mol, O₂=32 g/mol)",,,,,,,16,16,2,1,g,m_CH4|m_O2,16 g|80 g,Identify limiting (CH₄),then calculate O₂ consumed.,mol CH₄ = 16/16 = 1.0 mol; mol O₂ = 80/32 = 2.5 mol,CH₄ limiting (needs 2.0 mol O₂),mol O₂ used = 1.0 × 2 = 2.0 mol; excess mol O₂ = 2.5 − 2.0 = 0.50 mol; mass = 0.50 × 32 = 16 g,,2 sf; clean,,
ch8-excess-400-005,ch8-excess-400,5,,ch8,Chapter 8,Stoichiometry,⚖️,stoichiometry,Stoichiometry,⚖️,Excess Reagents,excess,400,1000,2,numeric,calculation|stoichiometry|excess,"2Na + Cl₂ → 2NaCl. 23 g Na and 71 g Cl₂ react completely. What mass of excess Cl₂ remains? (MM Na=23 g/mol, Cl₂=71 g/mol)",,,,,,,35.5,35.5,3,0.5,g,m_Na|m_Cl2,23 g|71 g,Identify limiting (Na),then calculate Cl₂ consumed.,mol Na = 23/23 = 1.0 mol; mol Cl₂ = 71/71 = 1.0 mol,Na limiting (needs 0.50 mol Cl₂),mol Cl₂ used = 1.0 / 2 = 0.50 mol; excess mol Cl₂ = 1.0 − 0.50 = 0.50 mol; mass = 0.50 × 71 = 35.5 g,,2 sf; clean,,
ch9-boyles-200-001,ch9-boyles-200,1,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,200,500,1,mc,conceptual|gas-laws,"Boyle's Law states that for a gas at constant temperature, pressure and volume are:",Directly proportional,Inversely proportional,Equal,Unrelated,Inversely proportional,,,,,,,,Think: squeeze a balloon — what happens to pressure as volume decreases?,Boyle's Law: P₁V₁ = P₂V₂ at constant T and n.,"As volume ↓, pressure ↑ — they move in opposite directions.",This is an INVERSE relationship: P ∝ 1/V,,,particle_diagram,"container:rigid|before:8R|after:8R|label_before:High V, Low P|label_after:Low V, High P|arrow:compress",,
ch9-boyles-400-001,ch9-boyles-400,1,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,400,1000,2,numeric,calculation|gas-laws,A gas occupies 8.0 L at 1.50 atm. It is compressed to 4.0 L at constant temperature. What is the new pressure?,,,,,,3,3,2,0.1,atm,P₁|V₁|V₂,1.50 atm|8.0 L|4.0 L,Use Boyle's Law: P₁V₁ = P₂V₂. Solve for P₂ = P₁V₁ / V₂,P₁V₁ = P₂V₂,P₂ = 1.50 × 8.0 / 4.0 = 3.0 atm,Pressure increased because volume decreased (inverse relationship).,,2 sf; factor of 2 compression — clean,,,,
ch9-boyles-400-002,ch9-boyles-400,2,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,400,1000,2,numeric,calculation|gas-laws,A gas occupies 6.0 L at 2.00 atm. It is compressed to 3.0 L at constant temperature. What is the new pressure?,,,,,,4,4,2,0.1,atm,P₁|V₁|V₂,2.00 atm|6.0 L|3.0 L,Use Boyle's Law: P₁V₁ = P₂V₂. Solve for P₂ = P₁V₁ / V₂,P₁V₁ = P₂V₂,P₂ = 2.00 × 6.0 / 3.0 = 4.0 atm,Pressure increased because volume decreased (inverse relationship).,,2 sf; exactly half volume,,,,
ch9-boyles-400-003,ch9-boyles-400,3,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,400,1000,2,numeric,calculation|gas-laws,A gas occupies 10. L at 1.20 atm. It is compressed to 4.0 L at constant temperature. What is the new pressure?,,,,,,3,3,2,0.1,atm,P₁|V₁|V₂,1.20 atm|10. L|4.0 L,Use Boyle's Law: P₁V₁ = P₂V₂. Solve for P₂ = P₁V₁ / V₂,P₁V₁ = P₂V₂,P₂ = 1.20 × 10. / 4.0 = 3.0 atm,Pressure increased because volume decreased (inverse relationship).,,2 sf; note 10. has 2 sf,,,,
ch9-boyles-400-004,ch9-boyles-400,4,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,400,1000,2,numeric,calculation|gas-laws,A gas occupies 5.00 L at 3.00 atm. It is compressed to 2.00 L at constant temperature. What is the new pressure?,,,,,,7.5,7.5,3,0.1,atm,P₁|V₁|V₂,3.00 atm|5.00 L|2.00 L,Use Boyle's Law: P₁V₁ = P₂V₂. Solve for P₂ = P₁V₁ / V₂,P₁V₁ = P₂V₂,P₂ = 3.00 × 5.00 / 2.00 = 7.50 atm,Pressure increased because volume decreased (inverse relationship).,,3 sf; straightforward,,,,
ch9-boyles-400-005,ch9-boyles-400,5,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,400,1000,2,numeric,calculation|gas-laws,A gas occupies 7.50 L at 1.60 atm. It is compressed to 3.00 L at constant temperature. What is the new pressure?,,,,,,4,4,3,0.1,atm,P₁|V₁|V₂,1.60 atm|7.50 L|3.00 L,Use Boyle's Law: P₁V₁ = P₂V₂. Solve for P₂ = P₁V₁ / V₂,P₁V₁ = P₂V₂,P₂ = 1.60 × 7.50 / 3.00 = 4.00 atm,Pressure increased because volume decreased (inverse relationship).,,3 sf; tricky — V2 not obvious fraction,,,,
ch9-boyles-600-001,ch9-boyles-600,1,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,600,2000,3,numeric,calculation|gas-laws,Gas at 1.00 atm and 9.0 L is compressed until pressure reaches 3.00 atm at constant temperature. Find the new volume.,,,,,,3,3,2,0.1,L,P₁|V₁|P₂,1.00 atm|9.0 L|3.00 atm,V₂ = P₁V₁ / P₂,P₁V₁ = P₂V₂  →  V₂ = P₁ × V₁ / P₂,V₂ = 1.00 × 9.0 / 3.00 = 3.0 L,,,2 sf; clean triple,,,,
ch9-boyles-600-002,ch9-boyles-600,2,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,600,2000,3,numeric,calculation|gas-laws,Gas at 2.50 atm and 4.00 L is compressed until pressure reaches 5.00 atm at constant temperature. Find the new volume.,,,,,,2,2,3,0.1,L,P₁|V₁|P₂,2.50 atm|4.00 L|5.00 atm,V₂ = P₁V₁ / P₂,P₁V₁ = P₂V₂  →  V₂ = P₁ × V₁ / P₂,V₂ = 2.50 × 4.00 / 5.00 = 2.00 L,,,3 sf; straightforward,,,,
ch9-boyles-600-003,ch9-boyles-600,3,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,600,2000,3,numeric,calculation|gas-laws,Gas at 1.20 atm and 10. L is compressed until pressure reaches 4.80 atm at constant temperature. Find the new volume.,,,,,,2.5,2.5,2,0.1,L,P₁|V₁|P₂,1.20 atm|10. L|4.80 atm,V₂ = P₁V₁ / P₂,P₁V₁ = P₂V₂  →  V₂ = P₁ × V₁ / P₂,V₂ = 1.20 × 10. / 4.80 = 2.5 L,,,2 sf; factor 4 pressure change,,,,
ch9-boyles-600-004,ch9-boyles-600,4,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,600,2000,3,numeric,calculation|gas-laws,Gas at 3.00 atm and 6.00 L is compressed until pressure reaches 2.00 atm at constant temperature. Find the new volume.,,,,,,9,9,3,0.1,L,P₁|V₁|P₂,3.00 atm|6.00 L|2.00 atm,V₂ = P₁V₁ / P₂,P₁V₁ = P₂V₂  →  V₂ = P₁ × V₁ / P₂,V₂ = 3.00 × 6.00 / 2.00 = 9.00 L,,,3 sf; expansion — P decreases,,,,
ch9-boyles-600-005,ch9-boyles-600,5,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,600,2000,3,numeric,calculation|gas-laws,Gas at 1.50 atm and 8.00 L is compressed until pressure reaches 6.00 atm at constant temperature. Find the new volume.,,,,,,2,2,3,0.1,L,P₁|V₁|P₂,1.50 atm|8.00 L|6.00 atm,V₂ = P₁V₁ / P₂,P₁V₁ = P₂V₂  →  V₂ = P₁ × V₁ / P₂,V₂ = 1.50 × 8.00 / 6.00 = 2.00 L,,,3 sf; factor 4 compression,,,,
ch9-boyles-800-001,ch9-boyles-800,1,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,800,4000,3,numeric,calculation|unit-conversion|gas-laws,A gas at 760. mmHg and 12.0 L expands to 24.0 L at constant temperature. Find the final pressure in mmHg.,,,,,,380,380,3,5,mmHg,P₁|V₁|V₂,760. mmHg|12.0 L|24.0 L,Boyle's Law works with any pressure unit — keep both pressures in mmHg.,P₂ = (760. × 12.0) / 24.0 = 380. mmHg,Pressure decreased because volume increased (inverse relationship).,,,3 sf; exactly double volume; 760. has 3 sf,,,,
ch9-boyles-800-002,ch9-boyles-800,2,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,800,4000,3,numeric,calculation|unit-conversion|gas-laws,A gas at 912 mmHg and 10.0 L expands to 30.0 L at constant temperature. Find the final pressure in mmHg.,,,,,,304,304,3,5,mmHg,P₁|V₁|V₂,912 mmHg|10.0 L|30.0 L,Boyle's Law works with any pressure unit — keep both pressures in mmHg.,P₂ = (912 × 10.0) / 30.0 = 304 mmHg,Pressure decreased because volume increased (inverse relationship).,,,3 sf; triple volume expansion,,,,
ch9-boyles-800-003,ch9-boyles-800,3,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,800,4000,3,numeric,calculation|unit-conversion|gas-laws,A gas at 836 mmHg and 15.0 L expands to 6.00 L at constant temperature. Find the final pressure in mmHg.,,,,,,2090,2090,3,10,mmHg,P₁|V₁|V₂,836 mmHg|15.0 L|6.00 L,Boyle's Law works with any pressure unit — keep both pressures in mmHg.,P₂ = (836 × 15.0) / 6.00 = 2090 mmHg,Pressure decreased because volume increased (inverse relationship).,,,3 sf; compression by factor 2.5,,,,
ch9-boyles-800-004,ch9-boyles-800,4,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,800,4000,3,numeric,calculation|unit-conversion|gas-laws,A gas at 1140 mmHg and 8.00 L expands to 24.0 L at constant temperature. Find the final pressure in mmHg.,,,,,,380,380,3,5,mmHg,P₁|V₁|V₂,1140 mmHg|8.00 L|24.0 L,Boyle's Law works with any pressure unit — keep both pressures in mmHg.,P₂ = (1140 × 8.00) / 24.0 = 380. mmHg,Pressure decreased because volume increased (inverse relationship).,,,3 sf; tricky — same answer as v1 different path,,,,
ch9-boyles-800-005,ch9-boyles-800,5,,ch9,Chapter 9,Gas Laws,⚗️,gas-laws,Gas Laws,⚗️,Boyle's Law,boyles,800,4000,3,numeric,calculation|unit-conversion|gas-laws,A gas at 608 mmHg and 25.0 L expands to 40.0 L at constant temperature. Find the final pressure in mmHg.,,,,,,380,380,3,5,mmHg,P₁|V₁|V₂,608 mmHg|25.0 L|40.0 L,Boyle's Law works with any pressure unit — keep both pressures in mmHg.,P₂ = (608 × 25.0) / 40.0 = 380. mmHg,Pressure decreased because volume increased (inverse relationship).,,,3 sf; expansion; notice pattern — teaches P∝1/V,,,,
